Title,As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,year
Rogue City,2020-11-05,9,4,-,Rogue City,Movie,Yes,2020-10-30,6,35,2020
Rogue Warfare: The Hunt,2020-08-04,9,3,-,Rogue Warfare: The Hunt,Movie,No,2020-08-01,2,10,2020
Rust Creek,2020-12-04,9,4,-,Rust Creek,Movie,No,2020-11-30,3,10,2020
SAS: Red Notice,2021-09-03,9,5,-,SAS: Red Notice,Movie,No,2021-08-27,7,47,2021
Sabotage,2021-05-27,10,10,-,Sabotage,Movie,No,2021-05-19,7,26,2021
Safe House,2021-09-30,8,-,5,Safe House,Movie,No,2021-09-16,9,58,2021
Salt,2020-04-03,9,-,-,Salt,Movie,No,2020-04-01,1,2,2020
Savages,2021-03-28,8,-,3,Savages,Movie,No,2021-03-16,10,60,2021
Saving Private Ryan,2021-04-09,8,6,-,Saving Private Ryan,Movie,No,2021-04-01,4,13,2021
Scary Stories to Tell in th…,2022-01-03,10,-,-,Scary Stories to Tell in th…,Movie,No,2022-01-01,1,1,2022
Seaspiracy,2021-04-02,10,8,10,Seaspiracy,Movie,Yes,2021-03-24,8,24,2021
Secret Magic Control Agency,2021-04-03,10,7,6,Secret Magic Control Agency,Movie,Yes,2021-03-25,8,44,2021
Secrets of the Saqqara Tomb,2020-11-03,10,5,-,Secrets of the Saqqara Tomb,Movie,Yes,2020-10-28,5,22,2020
Sentinelle,2021-03-09,5,3,-,Sentinelle,Movie,Yes,2021-03-05,4,30,2021
Shooter,2022-03-11,8,8,-,Shooter,Movie,No,2014-08-01,3,7,2022
Shrek,2022-03-11,10,10,-,Shrek,Movie,No,2018-05-01,7,12,2022
Shrek 2,2022-03-11,9,9,7,Shrek 2,Movie,No,2022-03-01,10,33,2022
Single All the Way,2021-12-07,10,7,-,Single All the Way,Movie,Yes,2021-12-02,5,13,2021
Single all the Way,2021-12-04,10,7,-,Single all the Way,Movie,Yes,2021-12-02,2,5,2021
Skylines,2021-03-23,10,7,-,Skylines,Movie,No,2021-03-18,4,9,2021
Sleepless,2020-05-14,8,4,-,Sleepless,Movie,No,2020-05-09,6,37,2020
Sniper: Ghost Shooter,2021-04-14,10,10,7,Sniper: Ghost Shooter,Movie,No,2021-04-01,9,21,2021
Snowden,2020-11-06,9,6,-,Snowden,Movie,No,2020-11-01,3,10,2020
Soul Surfer,2020-05-22,9,9,-,Soul Surfer,Movie,No,2020-05-17,5,17,2020
Space Sweepers,2021-02-08,8,-,-,Space Sweepers,Movie,Yes,2021-02-05,1,3,2021
Squared Love,2021-02-15,8,9,-,Squared Love,Movie,Yes,2021-02-11,4,12,2021
St. Vincent,2022-02-23,10,10,10,St. Vincent,Movie,No,2016-08-10,6,11,2022
Step Up Revolution,2021-03-03,10,-,-,Step Up Revolution,Movie,No,2021-03-01,1,1,2021
Stowaway,2021-05-01,7,6,2,Stowaway,Movie,Yes,2021-04-22,9,70,2021
Sweet Girl,2021-09-01,7,7,1,Sweet Girl,Movie,Yes,2021-08-20,12,96,2021
Synchronic,2021-04-26,7,7,1,Synchronic,Movie,No,2021-04-16,9,64,2021
Tall Girl 2,2022-02-15,8,5,-,Tall Girl 2,Movie,Yes,2022-02-11,4,23,2022
Talladega Nights: The Balla…,2021-07-09,9,8,-,Talladega Nights: The Balla…,Movie,No,2021-07-01,5,14,2021
Texas Chainsaw Massacre,2022-02-24,10,4,-,Texas Chainsaw Massacre,Movie,Yes,2022-02-18,6,39,2022
The 2nd,2020-12-04,10,3,-,The 2nd,Movie,No,2020-11-30,4,26,2020
The BFG,2021-03-28,10,-,-,The BFG,Movie,No,2021-03-15,1,1,2021
